user_id,age,gender,country,post_id,post_type,post_category,likes,comments,shares,watch_time_sec,impression_count,posted_at,follower_count,is_verified,device_type,sentiment,hashtags,engagement_rate
25795,43,Female,Brazil,496713,image,fitness,7011,354,1157,5726,44650,17-12-2022,81734,FALSE,mobile,negative,#foodie #travel #love,0.190862262
10860,33,Male,Brazil,157326,reel,food,11750,2606,1807,5947,80216,02-06-2023,5963,FALSE,mobile,negative,#fitness,0.201493468
86820,32,Female,UK,109864,text,food,4862,344,955,6946,44858,07-05-2023,501783,FALSE,tablet,positive,#foodie,0.137344509
64886,51,Other,France,848877,text,fitness,5350,1083,1049,229,70455,12-02-2023,480212,FALSE,mobile,negative,#music #foodie #fun,0.106195444
16265,34,Other,UK,449706,image,fitness,12682,2735,1300,4798,6019,23-05-2023,383936,FALSE,mobile,negative,#travel,2.777371656
92386,16,Other,Canada,174310,video,tech,12535,1790,99,1427,24893,16-09-2023,684761,FALSE,desktop,positive,#fitness,0.579440003
47194,25,Male,Japan,481598,video,travel,11703,2276,1465,6287,96327,15-04-2022,519759,TRUE,tablet,negative,#music,0.16032888
97498,57,Female,Canada,343415,image,travel,9611,146,424,1699,68446,20-12-2023,698739,FALSE,desktop,neutral,#travel #music #fitness,0.148744996
54131,54,Female,UK,907449,image,fashion,,2379,1897,5650,36283,06-07-2023,615809,TRUE,desktop,negative,#music #fun #fitness,0.533913954
70263,62,Female,Australia,495037,video,lifestyle,14106,2480,1053,3969,87972,16-11-2022,452146,FALSE,tablet,neutral,#lifestyle #love,0.200506979
26023,61,Male,France,674625,image,education,355,398,1668,6211,54685,15-02-2022,557276,FALSE,tablet,negative,#tech,0.044271738
51090,32,Male,Australia,538701,image,travel,19856,1723,905,3065,1816,29-08-2022,365517,FALSE,desktop,positive,#fun #fashion #love,12.38105727
77221,64,Male,Canada,183557,text,music,8432,2883,495,2145,89917,27-09-2022,413874,FALSE,desktop,positive,#fitness,0.13134335
74820,25,Male,Brazil,287460,text,fashion,15700,1434,1886,6,389,29-10-2023,51929,FALSE,desktop,positive,#foodie #lifestyle,48.89460154
10769,29,Other,Canada,110372,image,fashion,13850,586,650,6958,4797,20-09-2023,374227,FALSE,tablet,positive,#foodie #fashion,3.144882218
69735,48,Male,India,599900,image,food,17238,2646,997,4272,48199,06-02-2022,455102,FALSE,desktop,positive,#lifestyle #love,0.433224756
72955,45,Male,UAE,200050,reel,food,11935,1294,1214,1229,92955,24-07-2022,67694,FALSE,desktop,positive,#reels,0.155376257
